X;Y;Name;Sensor;Year;Day;Value
639087.772819;6678711.77445;MOD13Q1.A2012081.250m_16_days_NDVI;MOD13Q1;2012;081;500
639087.772819;6678711.77445;MOD13Q1.A2012033.250m_16_days_NDVI;MOD13Q1;2012;033;233
639087.772819;6678711.77445;MOD13Q1.A2011001.250m_16_days_NDVI;MOD13Q1;2011;001;282
639087.772819;6678711.77445;MOD13Q1.A2013193.250m_16_days_NDVI;MOD13Q1;2013;193;7197
639087.772819;6678711.77445;MOD13Q1.A2013049.250m_16_days_NDVI;MOD13Q1;2013;049;330
639087.772819;6678711.77445;MOD13Q1.A2013321.250m_16_days_NDVI;MOD13Q1;2013;321;1154
639087.772819;6678711.77445;MOD13Q1.A2013337.250m_16_days_NDVI;MOD13Q1;2013;337;662
639087.772819;6678711.77445;MOD13Q1.A2013161.250m_16_days_NDVI;MOD13Q1;2013;161;6936
639087.772819;6678711.77445;MOD13Q1.A2012145.250m_16_days_NDVI;MOD13Q1;2012;145;7271
639087.772819;6678711.77445;MOD13Q1.A2012321.250m_16_days_NDVI;MOD13Q1;2012;321;516
639087.772819;6678711.77445;MOD13Q1.A2013273.250m_16_days_NDVI;MOD13Q1;2013;273;6721
639087.772819;6678711.77445;MOD13Q1.A2011337.250m_16_days_NDVI;MOD13Q1;2011;337;208
639087.772819;6678711.77445;MOD13Q1.A2012241.250m_16_days_NDVI;MOD13Q1;2012;241;6921
639087.772819;6678711.77445;MOD13Q1.A2012337.250m_16_days_NDVI;MOD13Q1;2012;337;-27
639087.772819;6678711.77445;MOD13Q1.A2012001.250m_16_days_NDVI;MOD13Q1;2012;001;285
639087.772819;6678711.77445;MOD13Q1.A2012305.250m_16_days_NDVI;MOD13Q1;2012;305;5993
639087.772819;6678711.77445;MOD13Q1.A2011241.250m_16_days_NDVI;MOD13Q1;2011;241;6511
639087.772819;6678711.77445;MOD13Q1.A2011129.250m_16_days_NDVI;MOD13Q1;2011;129;6418
639087.772819;6678711.77445;MOD13Q1.A2013033.250m_16_days_NDVI;MOD13Q1;2013;033;369
639087.772819;6678711.77445;MOD13Q1.A2011177.250m_16_days_NDVI;MOD13Q1;2011;177;7257
639087.772819;6678711.77445;MOD13Q1.A2011257.250m_16_days_NDVI;MOD13Q1;2011;257;6216
639087.772819;6678711.77445;MOD13Q1.A2011273.250m_16_days_NDVI;MOD13Q1;2011;273;6373
639087.772819;6678711.77445;MOD13Q1.A2012273.250m_16_days_NDVI;MOD13Q1;2012;273;7220
639087.772819;6678711.77445;MOD13Q1.A2013065.250m_16_days_NDVI;MOD13Q1;2013;065;665
639087.772819;6678711.77445;MOD13Q1.A2013241.250m_16_days_NDVI;MOD13Q1;2013;241;6783
639087.772819;6678711.77445;MOD13Q1.A2013353.250m_16_days_NDVI;MOD13Q1;2013;353;443
639087.772819;6678711.77445;MOD13Q1.A2012289.250m_16_days_NDVI;MOD13Q1;2012;289;5998
639087.772819;6678711.77445;MOD13Q1.A2013305.250m_16_days_NDVI;MOD13Q1;2013;305;1119
639087.772819;6678711.77445;MOD13Q1.A2013177.250m_16_days_NDVI;MOD13Q1;2013;177;6916
639087.772819;6678711.77445;MOD13Q1.A2011225.250m_16_days_NDVI;MOD13Q1;2011;225;7068
639087.772819;6678711.77445;MOD13Q1.A2011305.250m_16_days_NDVI;MOD13Q1;2011;305;3354
639087.772819;6678711.77445;MOD13Q1.A2013081.250m_16_days_NDVI;MOD13Q1;2013;081;-77
639087.772819;6678711.77445;MOD13Q1.A2011209.250m_16_days_NDVI;MOD13Q1;2011;209;8286
639087.772819;6678711.77445;MOD13Q1.A2011353.250m_16_days_NDVI;MOD13Q1;2011;353;-474
639087.772819;6678711.77445;MOD13Q1.A2012129.250m_16_days_NDVI;MOD13Q1;2012;129;6499
639087.772819;6678711.77445;MOD13Q1.A2012177.250m_16_days_NDVI;MOD13Q1;2012;177;7539
639087.772819;6678711.77445;MOD13Q1.A2013289.250m_16_days_NDVI;MOD13Q1;2013;289;6032
639087.772819;6678711.77445;MOD13Q1.A2013209.250m_16_days_NDVI;MOD13Q1;2013;209;6973
639087.772819;6678711.77445;MOD13Q1.A2012225.250m_16_days_NDVI;MOD13Q1;2012;225;7115
639087.772819;6678711.77445;MOD13Q1.A2012257.250m_16_days_NDVI;MOD13Q1;2012;257;6239
639087.772819;6678711.77445;MOD13Q1.A2011017.250m_16_days_NDVI;MOD13Q1;2011;017;621
639087.772819;6678711.77445;MOD13Q1.A2011193.250m_16_days_NDVI;MOD13Q1;2011;193;6994
639087.772819;6678711.77445;MOD13Q1.A2011145.250m_16_days_NDVI;MOD13Q1;2011;145;6353
639087.772819;6678711.77445;MOD13Q1.A2012353.250m_16_days_NDVI;MOD13Q1;2012;353;13
639087.772819;6678711.77445;MOD13Q1.A2012193.250m_16_days_NDVI;MOD13Q1;2012;193;6990
639087.772819;6678711.77445;MOD13Q1.A2012161.250m_16_days_NDVI;MOD13Q1;2012;161;6990
639087.772819;6678711.77445;MOD13Q1.A2012097.250m_16_days_NDVI;MOD13Q1;2012;097;5497
639087.772819;6678711.77445;MOD13Q1.A2011321.250m_16_days_NDVI;MOD13Q1;2011;321;460
639087.772819;6678711.77445;MOD13Q1.A2011065.250m_16_days_NDVI;MOD13Q1;2011;065;308
639087.772819;6678711.77445;MOD13Q1.A2012049.250m_16_days_NDVI;MOD13Q1;2012;049;261
639087.772819;6678711.77445;MOD13Q1.A2012113.250m_16_days_NDVI;MOD13Q1;2012;113;6396
639087.772819;6678711.77445;MOD13Q1.A2013001.250m_16_days_NDVI;MOD13Q1;2013;001;159
639087.772819;6678711.77445;MOD13Q1.A2013129.250m_16_days_NDVI;MOD13Q1;2013;129;5906
639087.772819;6678711.77445;MOD13Q1.A2011161.250m_16_days_NDVI;MOD13Q1;2011;161;7070
639087.772819;6678711.77445;MOD13Q1.A2013017.250m_16_days_NDVI;MOD13Q1;2013;017;379
639087.772819;6678711.77445;MOD13Q1.A2011289.250m_16_days_NDVI;MOD13Q1;2011;289;5870
639087.772819;6678711.77445;MOD13Q1.A2013097.250m_16_days_NDVI;MOD13Q1;2013;097;-31
639087.772819;6678711.77445;MOD13Q1.A2013225.250m_16_days_NDVI;MOD13Q1;2013;225;6928
639087.772819;6678711.77445;MOD13Q1.A2011049.250m_16_days_NDVI;MOD13Q1;2011;049;144
639087.772819;6678711.77445;MOD13Q1.A2011033.250m_16_days_NDVI;MOD13Q1;2011;033;268
639087.772819;6678711.77445;MOD13Q1.A2013257.250m_16_days_NDVI;MOD13Q1;2013;257;6430
639087.772819;6678711.77445;MOD13Q1.A2011081.250m_16_days_NDVI;MOD13Q1;2011;081;156
639087.772819;6678711.77445;MOD13Q1.A2011113.250m_16_days_NDVI;MOD13Q1;2011;113;6214
639087.772819;6678711.77445;MOD13Q1.A2012017.250m_16_days_NDVI;MOD13Q1;2012;017;277
639087.772819;6678711.77445;MOD13Q1.A2013145.250m_16_days_NDVI;MOD13Q1;2013;145;6173
639087.772819;6678711.77445;MOD13Q1.A2012209.250m_16_days_NDVI;MOD13Q1;2012;209;6796
639087.772819;6678711.77445;MOD13Q1.A2012065.250m_16_days_NDVI;MOD13Q1;2012;065;262
639087.772819;6678711.77445;MOD13Q1.A2013113.250m_16_days_NDVI;MOD13Q1;2013;113;5809
639087.772819;6678711.77445;MOD13Q1.A2011097.250m_16_days_NDVI;MOD13Q1;2011;097;5784
